Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
mixedbychopz,2020-11-05T10:43:40Z,Tier 1,1,1,subtoken,false
steeeee,2020-11-06T23:41:02Z,Tier 1,1,1,gift,false
drxpo_otb,2020-11-04T17:40:28Z,Tier 1,1,1,recurring,false
lftdmusicofficial,2020-11-24T22:42:29Z,Tier 1,1,1,gift,false
dzonybeatz,2020-10-27T09:51:41Z,Tier 1,1,1,recurring,false
odrizz_,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
zhon3,2020-11-22T18:45:29Z,Tier 3,1,1,recurring,false
maorshitrit,2020-11-13T22:15:05Z,Tier 1,1,1,gift,false
crisguevara2,2020-10-24T05:31:58Z,Tier 1,2,2,recurring,false
jasonstereo,2020-10-31T03:16:51Z,Tier 1,1,1,gift,false
skizomusic2020,2020-11-24T22:53:28Z,Tier 1,1,1,gift,false
cbcrivers,2020-11-09T19:43:05Z,Tier 1,1,1,prime,false
tphammy,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
dminorgotthekeys,2020-10-31T14:03:44Z,Tier 1,1,1,recurring,false
bwhereyouat,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
rodrigomc1397,2020-11-11T23:59:51Z,Tier 1,1,1,gift,false
theeswollenone,2020-11-13T22:15:05Z,Tier 1,1,1,gift,false
olympusmusic,2020-10-11T11:47:00Z,Tier 1,2,2,recurring,false
a_mat_,2020-10-10T05:20:35Z,Tier 1,2,2,recurring,false
znorri9,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
jeroromero2,2020-10-24T02:43:21Z,Tier 1,2,2,recurring,false
miamivices,2020-10-31T03:16:26Z,Tier 1,1,1,gift,false
tj_ballr,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
zino_ho,2020-11-24T22:42:29Z,Tier 1,1,1,gift,false
snoogans_plays,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
prodbysun,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
s747l,2020-11-15T17:00:22Z,Tier 1,1,1,prime,false
ryanstreetermusic,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
soundprufdub,2020-11-24T06:35:27Z,Tier 3,2,2,recurring,false
nachosoteloa,2020-11-22T14:20:29Z,Tier 1,1,1,subtoken,false
therealmikedean,2020-11-24T22:51:41Z,Tier 1,1,1,gift,false
maxencebraillon,2020-11-13T22:13:50Z,Tier 1,1,1,gift,false
jcseh11,2020-11-04T18:22:41Z,Tier 1,1,1,subtoken,false
boomboomvia,2020-11-11T23:59:34Z,Tier 1,2,2,subtoken,true
joshgudwin,2020-09-29T22:34:41Z,Tier 3,2,2,recurring,false
esera1992,2020-10-11T12:33:19Z,Tier 1,2,2,recurring,false
odonismusicgroup,2020-10-13T04:20:27Z,Tier 1,2,2,recurring,false
calvinmadethis,2020-11-04T23:41:07Z,Tier 2,1,1,gift,false
lukekxng,2020-11-03T15:03:13Z,Tier 1,1,1,prime,false
edycrats,2020-10-31T03:12:47Z,Tier 1,1,1,gift,false
jimjamesmusic,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
hvitveis,2020-11-12T22:21:02Z,Tier 1,1,1,gift,false
